City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,awjilah,29.1081,21.2869,37.02,23,0,9.02,LY,1690476762
280,maravatio de ocampo,19.9,-100.45,18.21,55,94,1.11,MX,1690477245
281,broome,42.2506,-75.833,27.43,90,100,3.6,US,1690477298
282,kapit,2.0167,112.9333,24.04,85,9,0.58,MY,1690476739
283,skowhegan,44.7651,-69.7192,24.76,95,100,1.67,US,1690477298
284,coquimbo,-29.9533,-71.3436,13.85,82,100,2.06,CL,1690477007
285,priozersk,61.0393,30.1291,20.05,93,98,1.19,RU,1690477299
286,sitka,57.0531,-135.33,16.34,81,56,1.59,US,1690477299
287,port elizabeth,-33.918,25.5701,15.16,88,0,1.54,ZA,1690477300
288,victoria point,-27.5833,153.3,16.62,77,37,0.45,AU,1690477300
289,karratha,-20.7377,116.8463,19.47,57,8,2.54,AU,1690476433
290,inhambane,-23.865,35.3833,21.67,68,20,3.13,MZ,1690477300
291,sur,22.5667,59.5289,29.9,67,96,6.5,OM,1690477301
292,walla walla,46.0646,-118.343,25.27,39,1,2.68,US,1690477236
293,rongelap,11.1635,166.8941,28.06,78,82,7.48,MH,1690477301
294,dunedin,-45.8742,170.5036,6.0,77,81,3.06,NZ,1690477198
295,butajira,8.1167,38.3667,15.88,89,70,1.03,ET,1690477301
296,port macquarie,-31.4333,152.9167,4.94,90,8,2.79,AU,1690477275
297,fenoarivo be,-18.4333,46.5667,15.43,45,1,2.56,MG,1690477302
298,aqaba,29.5267,35.0078,38.92,13,0,2.06,JO,1690477302
299,ulladulla,-35.35,150.4667,13.09,59,0,3.28,AU,1690477302
300,bannu,32.9854,70.6027,35.06,47,12,3.68,PK,1690477302
301,gazojak,41.1875,61.4036,32.96,29,87,5.84,TM,1690477303
302,verkhnevilyuysk,63.4453,120.3167,14.52,68,65,1.66,RU,1690477303
303,vadso,70.0744,29.7487,18.49,87,75,3.09,NO,1690477303
304,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1690477191
305,keflavik,64.0049,-22.5624,17.95,55,75,4.12,IS,1690476708
306,leirvik,59.7798,5.5005,18.68,78,59,2.29,NO,1690477304
307,carrizo springs,28.5219,-99.8606,35.34,43,0,5.63,US,1690477304
308,atlantic,39.4668,-74.6663,35.07,62,92,0.89,US,1690477304
309,malabar,-33.9667,151.25,12.66,74,0,3.6,AU,1690477304
310,ilhabela,-23.7781,-45.3581,23.74,74,2,5.64,BR,1690477305
311,pocone,-16.2567,-56.6228,37.43,17,32,1.75,BR,1690477305
312,port moresby,-9.4431,147.1797,24.08,86,86,5.77,PG,1690477306
313,mili,6.0815,171.735,27.91,79,92,4.16,MH,1690477306
314,port lincoln,-34.7333,135.8667,13.44,79,8,5.8,AU,1690477306
315,novodvinsk,64.4165,40.8122,16.14,74,36,1.9,RU,1690477306
316,portland,45.5234,-122.6762,22.5,64,20,2.57,US,1690477095
317,siwa oasis,29.2041,25.5195,40.59,12,0,3.82,EG,1690476736
318,palikir - national government center,6.9248,158.1611,26.02,83,100,1.82,FM,1690477307
319,sisimiut,66.9395,-53.6735,7.5,78,100,1.6,GL,1690476739
320,keetmanshoop,-26.5833,18.1333,24.51,14,0,4.63,NA,1690477308
321,carloforte,39.145,8.3058,26.05,66,0,7.53,IT,1690477308
322,taltal,-25.4,-70.4833,18.63,69,39,2.73,CL,1690476764
323,uruacu,-14.5247,-49.1408,34.12,17,37,1.7,BR,1690477308
324,kyren,51.6828,102.1408,14.33,85,0,1.01,RU,1690477309
325,orchard homes,46.8633,-114.0484,25.36,26,5,0.6,US,1690477309
326,patterson,37.4716,-121.1297,26.66,27,0,1.65,US,1690477310
327,kaiapoi,-43.3783,172.6401,7.82,87,75,5.14,NZ,1690477310
328,ceeldheer,3.8488,47.1806,24.76,79,71,9.29,SO,1690477311
329,ventspils,57.3894,21.5606,17.96,63,0,3.6,LV,1690477150
330,polyarnyy,69.1989,33.4478,12.6,88,97,1.53,RU,1690477311
331,sechura,-5.5569,-80.8222,26.62,57,8,4.12,PE,1690477311
332,mossel bay,-34.1831,22.146,12.96,86,0,4.02,ZA,1690477311
333,eyl,7.9803,49.8164,25.41,76,99,11.81,SO,1690476721
334,nezhinka,51.7676,55.3694,27.09,54,0,2.0,RU,1690477312
335,al artawiyah,26.5053,45.3444,38.33,8,100,4.38,SA,1690477313
336,freetown,8.484,-13.2299,27.84,78,75,6.69,SL,1690477154
337,muravlenko,63.7898,74.523,18.05,80,28,2.06,RU,1690477314
338,ascension,30.2169,-90.9001,34.59,55,0,1.54,US,1690477314
339,skovorodino,53.9833,123.9167,16.8,98,100,0.56,RU,1690477314
340,karwar,14.8,74.1333,25.37,85,100,6.35,IN,1690477316
341,kourou,5.1552,-52.6478,28.03,61,16,4.42,GF,1690477307
342,kushiro,42.975,144.3747,19.48,94,46,0.87,JP,1690477317
343,saiha,22.4833,92.9667,22.36,99,99,0.91,IN,1690477317
344,belmonte,-15.8631,-38.8828,24.0,78,92,4.25,BR,1690477317
345,le port,-20.9373,55.2919,20.0,87,50,2.69,RE,1690477318
346,pandan,14.0453,124.1694,27.54,80,100,4.78,PH,1690477318
347,tamanrasset,22.785,5.5228,36.95,5,0,4.12,DZ,1690477319
348,tubmanburg,6.8708,-10.8172,26.37,85,84,2.67,LR,1690477319
349,carutapera,-1.195,-46.02,30.02,62,53,4.79,BR,1690477319
350,turek,52.0155,18.5005,22.62,31,100,2.69,PL,1690476940
351,sokoni,-6.4333,39.55,24.92,74,5,7.75,TZ,1690477320
352,maun,-19.9833,23.4167,24.98,27,0,0.0,BW,1690477320
353,toliara,-23.35,43.6667,19.7,68,0,1.48,MG,1690477321
354,barra de santo antonio,-9.4047,-35.5072,28.6,73,47,3.72,BR,1690477322
355,wenchang,30.904,118.4887,24.26,84,26,5.23,CN,1690477122
356,flin flon,54.7682,-101.865,13.91,82,100,3.6,CA,1690476725
357,flying fish cove,-10.4217,105.6791,23.82,94,100,5.14,CX,1690477323
358,bairnsdale,-37.8333,147.6167,12.56,61,89,2.46,AU,1690477106
359,nenjiang,49.1833,125.2167,19.35,96,60,2.53,CN,1690477323
360,salekhard,66.53,66.6019,18.68,80,67,1.98,RU,1690477324
361,mejit,10.2753,170.8646,28.21,80,100,8.61,MH,1690477324
362,soio,-6.1349,12.3689,22.33,82,65,4.81,AO,1690477325
363,sedan,49.6667,5.0,17.07,93,100,3.09,FR,1690477325
